	id	title	year	genres	runtime	numvotes	rating	sub_id
1734	116213	Eraser	1996	['Action', 'Drama', 'Mystery']	115	96459	6.1	1952029144
1735	1702439	Safe Haven	2013	['Drama', 'Romance', 'Thriller']	115	96413	6.7	1953493825
1736	365830	Tenacious D in The Pick of Destiny	2006	['Adventure', 'Comedy', 'Music']	93	96390	6.8	1951689443
1737	4276820	The Founder	2016	['Biography', 'Drama', 'History']	115	96351	7.2	1955462511
1738	386117	Where the Wild Things Are	2009	['Adventure', 'Drama', 'Family']	101	96220	6.8	1952247793
1739	55630	Yojimbo	1961	['Action', 'Drama', 'Thriller']	110	96208	8.3	1951648574
1740	102510	The Naked Gun 2½: The Smell of Fear	1991	['Comedy', 'Crime']	85	96095	6.9	1952272093
1741	104952	My Cousin Vinny	1992	['Comedy', 'Crime']	120	96081	7.6	315316
1742	80487	Caddyshack	1980	['Comedy', 'Sport']	98	96053	7.3	130938
1743	1528854	Daddy's Home	2015	['Comedy']	96	96010	6.2	1955123647
1744	1656190	Safe	2012	['Action', 'Crime', 'Thriller']	94	95969	6.5	1953154118
1745	1135503	Julie & Julia	2009	['Biography', 'Drama', 'Romance']	118	95857	7.0	1952222366
1746	1053424	Repo Men	2010	['Action', 'Crime', 'Sci-Fi']	111	95811	6.3	1952352252
1747	1007029	The Iron Lady	2011	['Biography', 'Drama']	105	95697	6.4	1953023579
1748	2763304	T2 Trainspotting	2017	['Drama']	117	95639	7.2	1955570378
1749	317198	Bridget Jones: The Edge of Reason	2004	['Comedy', 'Drama', 'Romance']	108	95529	6.0	1952233378
1750	96256	They Live	1988	['Action', 'Horror', 'Sci-Fi']	94	95443	7.3	1322
1751	120902	The X Files	1998	['Drama', 'Mystery', 'Sci-Fi']	121	95338	7.0	1951899857
1752	1924396	The Best Offer	2013	['Crime', 'Drama', 'Mystery']	131	95329	7.8	1954149955
1753	327850	The Rundown	2003	['Action', 'Adventure', 'Comedy']	104	95240	6.7	1951722082
1754	256415	Sweet Home Alabama	2002	['Comedy', 'Romance']	108	95080	6.2	1952236412
1755	2503944	Burnt	2015	['Comedy', 'Drama']	101	95076	6.6	1955024450
1756	59800	Thunderball	1965	['Action', 'Adventure', 'Thriller']	130	95041	7.0	171751
1757	426883	Alpha Dog	2006	['Biography', 'Crime', 'Drama']	122	95021	6.9	1951642021
1758	848537	Epic	2013	['Animation', 'Adventure', 'Family']	102	95019	6.7	1953665517
1759	120889	What Dreams May Come	1998	['Drama', 'Fantasy', 'Romance']	113	95014	7.0	1953639604
1760	1114740	Paul Blart: Mall Cop	2009	['Action', 'Comedy', 'Crime']	91	94866	5.2	1952118956
1761	129290	Patch Adams	1998	['Biography', 'Comedy', 'Drama']	115	94802	6.8	1951972313
1762	462504	Rescue Dawn	2006	['Action', 'Adventure', 'Biography']	120	94779	7.3	1951711701
1763	1063669	The Wave	2008	['Drama', 'Thriller']	107	94764	7.6	1951988262
1764	110478	Maverick	1994	['Action', 'Adventure', 'Comedy']	127	94594	7.0	1952027423
1765	376136	The Rum Diary	2011	['Comedy', 'Drama']	119	94550	6.2	1953018371
1766	393109	Brick	2005	['Action', 'Crime', 'Drama']	110	94510	7.4	319789
1767	159273	Behind Enemy Lines	2001	['Action', 'Drama', 'Thriller']	106	94408	6.4	1951715560
1768	1078940	Couples Retreat	2009	['Comedy']	113	94406	5.5	1952280823
1769	1258197	Exam	2009	['Horror', 'Mystery', 'Thriller']	101	94394	6.9	1952336364
1770	2404233	Gods of Egypt	2016	['Action', 'Adventure', 'Fantasy']	127	94284	5.4	1955209627
1771	186151	Frequency	2000	['Crime', 'Drama', 'Mystery']	118	94258	7.4	268051
1772	1438176	Fright Night	2011	['Comedy', 'Horror']	106	94235	6.4	1952975576
1773	119303	Home Alone 3	1997	['Comedy', 'Crime', 'Family']	102	94218	4.4	1951728767
1774	3410834	Allegiant	2016	['Action', 'Adventure', 'Mystery']	120	94128	5.7	1955232175
1775	343737	The Good Shepherd	2006	['Drama', 'History', 'Thriller']	167	94094	6.7	1951645790
1776	91605	The Name of the Rose	1986	['Crime', 'Drama', 'Mystery']	130	93966	7.8	319520
